Id,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,LANDYADDRE,LANDXADDRE,ADDRESSPOS,ADDRESSBUI,HYPERLINK,PHOTOURL,ADDRESSUNI,ADDRESSFLO,ADDRESSSTR,ADDRESSBLO,INC_CRC,FMEL_UPD_D,snippet,Y,X
15,Fitness First - AMK Hub,"Facilities: Mind and Body studio, Group Exercise studio, cardio equipment (including treadmills, bikes, steppers and the revolutionary Technogym CardioWave?), weight machines and free weights.
Operating Hours: Monday ? Friday : 6.00am ? 10.00pm 

Saturda",,,,,-1,0,-1,,,0,0,569933,,,,36,B1,Ang Mo Kio Ave 3,53,48276C872F56DADC,2.01709E+13,,39030.10829,29678.2949
16,California Fitness - Velocity@Novena Square,"Facilities: - Group X Studio
- Indoor Cycling Studio
- Cardio Machines
- Resistance Machines
- Free Weights
- Xpress Zone
- Kick Fit Area
- Steam & Sauna
- Internet Kiosks
Operating Hours: Monday to Friday: 6:00 am - 12:00 midnight

Saturday: 6:00 am to",,,,,-1,0,-1,,,0,0,307683,,,,,,Velocity @ Novena,3,2CB5FB93CDC8D55D,2.01709E+13,,33607.74609,29150.5389
17,Fitness First - Alexandra (Mapletree Business City),"Facilities: 44m heated pool, Group Exercise studio, outdoor TRX? Suspension Training? area, boxing area, cardiovascular equipment (treadmills, rowers etc), a free weights area, resistance machines and a functional training area.
Operating Hours: Monday ?",,,,,-1,0,-1,,,0,0,117439,,,,29,7,Pasir Panjang Road,20,F4EFE161320877D9,2.01709E+13,,28589.49309,24187.827
18,Evolve MMA - POMO Mall,"Operating Hours: Monday-Friday: 6:30am to 10:30pm
Saturday-Sunday: 9:00am to 7:00pm
Tel: 63370082/ 63370037",,,,,-1,0,-1,,,0,0,188306,,,,11,3,Selegie Road,1,FE55DC370B8A0B59,2.01709E+13,,31384.91199,29774.6137
19,Fitness First - Captial Tower,"Facilities: Heated swimming pool, group exercise studio, cycling studio, cardiovascular and resistance strength training equipment
Operating Hours: Monday ? Friday : 6.00am ? 10.00pm 

Saturday : 7.00am ? 7.00pm

Sunday and Public Holidays : Closed
Tel:",,,,,-1,0,-1,,,0,0,68912,,,,1,9,,,9E298D73F4034553,2.01709E+13,,28908.40539,29580.8021
20,Yoga Connections,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,419903,,,,,,A Changi Road,498,7BDBBA93976A9409,2.01812E+13,,33499.52219,36979.6312
21,California Fitness - Raffles,"Facilities: - Energy Studio 
- Mind Body Studio 
- Indoor Cycling Studio 
- Cardio Machines 
- Resistance Machines 
- Free Weights 
- Xpress Zone 
- Kick Fit Area 
- Steam & Sauna
Operating Hours: Monday to Friday: 6:00 am - 12:00 midnight

Saturday: 6:0",,,,,-1,0,-1,,,0,0,48619,,,,,,Raffles Place,14,31D5AE9B685FA3B5,2.01812E+13,,29546.62599,29920.3909
22,True Fitness - Suntec City,"Operating Hours: Mon ? Thurs: 6am ? 11pm 

Fri: 6am ? 10pm 

Sat: 6am ? 9pm 

Sun / Public Holiday: 8am ? 8pm 
Tel: 6820 9000",,,,,-1,0,-1,,,0,0,38983,Suntec City Mall,,,1,7,Temasek Boulevard,3,707D40085D853452,2.01812E+13,,30806.67839,30710.7125
23,Union Yoga Ayurveda (Kembangan Branch),Open Daily 9am - 10pm,,,,,-1,0,-1,,,0,0,418935,Kingston Terrace,,,1,1,Kingston Terrace,14D,67FD054BD7FDF7CB,2.01812E+13,,33571.70759,36852.4536
24,Union Yoga Ayurveda (Beauty World Branch),Open Daily 9am - 10pm,,,,,-1,0,-1,,,0,0,599625,Mandarin Park Shop Houses,,,,,51 Chun Tin Road,,0621E5B04CE748FD,2.01812E+13,,35988.63539,21255.6735
25,Rhythmic Yoga Works,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,188091,Far East Shopping Centre,,,1,,Orchard Road,575,193BAB36DB0C0EC5,2.01807E+13,,31151.97909,30628.27509
26,Neue,Open Daily 1000-2200 (close on public holiday),,,,,-1,0,-1,,,0,0,397628,Kallang wave mall,,,,,1 Stadium place #02-07,,9A7626566D5D7F1D,2.01807E+13,,31797.91779,32388.4359
27,Om Shiva Yoga - Chip Bee,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,278000,Chip Bee Gardens,,,,,Jalan Rumia,45,019967C0B5FEC648,2.01601E+13,,32588.50939,24018.0481
28,Om Shiva Yoga - Horse City,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,287992,Horse City,,,02B,1,Turf Club Road,100,CAA5268B7356F9BB,2.01601E+13,,35156.77259,23835.5087
29,OMG Yoga,Operating Hours: Monday & Friday: 10.00am - 6.00pm,,,,,-1,0,-1,,,0,0,600134,,,,309,4,Jurong Gateway Road,134,47C03D160CFA8054,2.01601E+13,,35117.45319,17470.8588
30,Philip Wain,"Operating Hours: Monday - Friday: 
7.00 am - 10.00 pm

Saturday: 
7.00 am - 8.00 pm

Sunday: 
9.00 am - 6.00 pm

Public holidays: 
10.00 am - 7.00 pm",,,,,-1,0,-1,,,0,0,307591,,,,10,4,Thomson Road,101,65E2947EF964CB81,2.01601E+13,,33289.69139,29128.9959
31,Pure Fitness - Knightsbridge (Asia Square),"Facilities: Kettlebells, bulgarian bags, medicine balls, 4 x 35m indoor running track, mixed martial arts zone, VO2 testing area,  group fitness studios, swimming pool, cardio equipment, resistance equipment, free weights
Operating Hours: Monday - Saturd",,,,,-1,0,-1,,,0,0,238857,Asia Square Tower 1,,,,6,Marina View,8,8CA6543133538778,2.01605E+13,,31716.27819,28320.9001
32,Krav Maga Singapore,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,59295,,,,0,5,North Canal Road,39,1B056E088123BADB,2.01605E+13,,29949.58339,29525.4868
33,Fitness First - Tampines,"Facilities: Cardio equipment (steppers, bikes, treadmills, rowers etc), Technogym resistance machines, free-weights, Group Exercise studio, Mind and Body studio and cycling studio 
Operating Hours: Mon to Fri: 6.00am -10.00pm

Sat : 7.00am - 7.00pm

Sun",,,,,-1,0,-1,,,0,0,529508,,,,1,4,Tampines Central,1,0E5BDF23B9B550FF,2.01605E+13,,37243.04349,40271.6252
34,iPilates,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,229572,,,,6,1,Claymore Hill,8,CC585D492FF046BB,2.01605E+13,,32217.14439,27857.4909
35,California Fitness - Orchard- Ngee Ann City,"Facilities: - Energy Studio
- Mind Body Studio
- Indoor Cycling Studio
- Cardio Machines
- Resistance Machines
- Free Weights
- Xpress Zone
- Kick Fit Area
- Internet Kiosks
Operating Hours: Monday to Saturday: 6:00 am - 12:00 midnight

Sunday and Public",,,,,-1,0,-1,,,0,0,238873,,,,,,Ngee Ann City,8,80D12C5172266541,2.01605E+13,,31640.96679,28151.0836
36,True Fitness - China Square Central,"Operating Hours: Mon ? Thurs: 6am ? 11pm 

Fri: 6am ? 10pm Sat: 6am ? 9pm 

Sun / Public Holiday: 8am ? 8pm
Tel: 6438 3833",,,,,-1,0,-1,,,0,0,48423,,,,26,B1,Cross Street,18,E95592F9A510E94C,2.01605E+13,,29550.11599,29509.1533
37,Sky Pilates,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,238881,,,,3,5,Orchard Road,541,5DDCD3528F520732,2.01605E+13,,31935.43369,27711.0896
38,Slender Shapes - Eunos,"Operating Hours: Monday - Friday:
8.00am - 2.00pm
3.00pm - 9.00pm

Saturday:
9.00am - 4.00pm

Sunday & PH: Closed",,,,,-1,0,-1,,,0,0,415979,Eunos Techpark,,,6,1,Kaki Bukit Place,60,740A9C40632BFA6A,2.01605E+13,,35140.52099,35872.1246
39,Core Fitness Physiotherapy & Pilates Centre  - Forum The Shopping Mall,"Operating Hours: Mon ? Thu: 9 am to 9 pm

Fri: 9 am to 7 pm 

Sat: 9 am to 5 pm

Sundays and Public Holidays: by appointments only",,,,,-1,0,-1,,,0,0,238884,,,,4,5,Orchard Road,583,1CBCEAA8DCE05C7D,2.01601E+13,,32058.01359,27464.7401
40,CrossFit Fire City,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,338988,,,,5,1,Kampong Bugis,11,DBC99240555E4035,2.01601E+13,,32314.83309,31640.4732
41,CrossFit Singapore,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,408830,,,,13,2,Ubi Avenue 4,81,032A31735DABE181,2.01601E+13,,35082.71489,34504.8298
42,Curves - Marine Parade,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,160140,,,,1,13,Marine Parade Central,1,D51E49EA5998835F,2.01601E+13,,28957.53299,27577.7309
43,Elements Pilates,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,247918,,,,8,3,Tanglin Road,,39F348823D05A7E7,2.01601E+13,,31955.88779,27082.9971
44,Evolve MMA - Far East Square,"Operating Hours: Monday-Friday: 6:30am to 10:30pm
Saturday-Sunday: 9:00am to 7:00pm
Tel: 65364525/ 65364830",,,,,-1,0,-1,,,0,0,49568,,,,1,1,China Street,26,2B065B4D81010FCA,2.01601E+13,,29499.52889,29613.9891
45,Fitness First - Millenia Walk,"Facilities: Multi-purpose studio, cycling studio, free weights, resistance machines, cardio machines  
Operating Hours: Monday ? Friday : 6.00am ? 10.00pm 

Saturday : 9.00am ? 9.00pm

Sunday and Public Holidays : 10.00am ? 8.00pm 
Tel: 6339 7555",,,,,-1,0,-1,,,0,0,39596,,,,38,2,Raffles Boulevard,9,F4DDE37F537AD715,2.01601E+13,,30595.03959,30896.4011
46,Fitness First - One George Street,"Facilities: Heated swimming pool, cardio equipment, strength equipment, free weights area, stretch area, Group Exercise studio
Operating Hours: Monday ? Friday : 6.00am ? 11.00pm 

Saturday : 7.00am ? 7.00pm

Sunday and Public Holidays : 10.00am ? 6.00pm",,,,,-1,0,-1,,,0,0,49145,,,,1,5,,,3BDFD9B0E01F133D,2.01601E+13,,29774.62699,29608.5361
47,Amore Fitness - Heartland Mall,"Operating Hours: Monday - Friday: 9.00 AM - 10.00 PM

Saturday: 9:00 AM - 7:30 PM

Sunday & Public Holiday: 9.00 AM - 7:30 PM",,,,,-1,0,-1,,,0,0,530205,,,,11,3,Hougang Street 21,205,94714536BEEAB243,2.01709E+13,,37951.80849,33760.4368
48,Amore Fitness - Plaza Singapura,"Operating Hours: Monday - Friday: 9.00 AM - 10.00 PM

Saturday: 9.00 AM - 10.00 PM

Sunday & Public Holiday: 9.00 AM - 10.00 PM",,,,,-1,0,-1,,,0,0,238839,,,,9,4,Orchard Road,68,79227FDEDF3DAB6E,2.01709E+13,,31455.57809,29305.3376
49,Amore Fitness - Thomson Plaza,"Operating Hours: Monday: 9.00 AM - 10.00 PM
Saturday: 9.00 AM - 9.00 PM
Sunday & Public Holiday: 9.00 AM - 7.30 PM",,,,,-1,0,-1,,,0,0,574408,,,,49,3,Upper Thomson Road,301,1A6B6A0AB76D4A9A,2.01709E+13,,37417.93339,27733.042
50,Bikram Yoga,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,179103,,,,14,2,North Bridge Road,252,8B7EB611C2BCC165,2.01709E+13,,30697.70649,30203.7161
51,Bikram Yoga Harbourfront,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,99253,,,,13,3,,,41CC26A587749B62,2.01709E+13,,27178.08109,26364.7778
52,Brazilian Jiu Jitzu Singapore,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,228149,,,,19,6,Sophia Road,,C8249F9DE196CF6C,2.01709E+13,,31491.29459,29764.8176
53,Pilates Bodyworks - Holland,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,270036,Buona Vista Community Club,,,1,2,Holland Drive,36,4631ECA28789B6FA,2.01605E+13,,32388.26109,23462.5592
54,Tirisula Yoga,Tel: 90098889/ 85715701,,,,,-1,0,-1,,,0,0,199777,,,,,,B Arab Street,80,20BDFF1E9571FDF8,2.01711E+13,,31536.46859,30879.0618
55,Total Yoga - Clarke Quay,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,59917,Hui Seng Building,,,1,3,Carpenter Street,38,7F5BF3C2974A506F,2.01711E+13,,30035.26289,29608.6478
56,Fitness First - Marina Bay Financial Centre,"Facilities: Multi-purpose studio, cycling studio, free weights, resistance machines, cardio machines  
Operating Hours: Monday ? Friday : 6.00am ? 10.00pm 

Saturday : 8.00am ? 5.00pm

Sunday and Public Holidays : Closed
Tel: 6536 2373",,,,,-1,0,-1,,,0,0,18982,,,,3,16,Marina Boulevard,12,8F637F6D9220E08D,2.01711E+13,,29062.53689,30334.7765
57,Midview Body & Mind,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,573972,Midview City,,,138,8,Sin Ming Lane,28,BAB87D4CFCC68591,2.01711E+13,,37810.20289,28068.1239
58,Pilates Inc - The Moving Body Group - Amoy Street,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,69901,,,,,,Amoy Street Level 1,82,7ACFBBEA403DC32D,2.01711E+13,,29247.72199,29492.9936
59,The Jungle,Operating Hours 8am to 9pm,,,,,-1,0,-1,,,0,0,49824,,,,35B,,35B Boat Quay,,150B4896253E1146,2.01711E+13,,29853.07099,29820.2181
60,TMP Fitness - Revenue House,Operating Hours 7am to 10pm,,,,,-1,0,-1,,,0,0,307987,Revenue House,,,2,5,55 Newton Road,,B61A5200655F788D,2.01709E+13,,33527.97429,28963.4096
61,Amore Fitness - Bugis Junction,"Operating Hours: Monday - Friday: 9.00 AM - 10.00 PM

Saturday: 9.00 AM - 9.00 PM

Sunday and Public Holiday: 9.00 AM - 9.00 PM",,,,,-1,0,-1,,,0,0,188021,,,,,3,Victoria Street Bugis Junction,200,D641A1261476D87A,2.01601E+13,,31269.86739,30449.44699
62,Bukit Gombak ClubFITT Gym,"Facilities: Standard Gymnasium Equipment
Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday)
Tel: 6896 2197",,,,,-1,0,-1,,,0,0,659081,,,,,,Bukit Batok West Ave 5,810,00B7C4A8E6B769F1,2.01601E+13,,37776.12629,19064.11099
63,Choa Chu Kang ClubFITT Gym,"Facilities: Standard Gymnasium Equipment
Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday)
Tel: 6767 1739",,,,,-1,0,-1,,,0,0,689236,,,,,,Choa Chu Kang St 53,1,657E21243B67D8C2,2.01601E+13,,41398.4873,18496.3308
64,Clementi ClubFITT Gym,"Facilities: Standard Gymnasium Equipment
Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday)
Tel: 68729180/1",,,,,-1,0,-1,,,0,0,129907,,,,,,Clementi Ave 3,518,0ECC239A9E5BE231,2.01601E+13,,32590.99799,20381.3631
65,Hougang ClubFITT Gym,"Facilities: Standard Gymnasium Equipment
Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday)
Tel: 6315 8674",,,,,-1,0,-1,,,0,0,538832,,,,,,Hougang Ave 4,93,4799581394079A15,2.01601E+13,,39176.63799,34093.3621
